"","runset","outroot","outno","fmtno","outdir","indir","gdem_dir","priordb","case","pass","day","smearing","land_sig0","water_sig0","gdem_name","notes","rtviz_url","refdem","refdem_res","tile"
"32","roruns","./output/sac",32,32,"./output/sac32","$SACDIR5","$SACDIR5","$PRIORLOC2","Sacramento",249,109,"50m","-100dB","10dB","gdem_preproc.nc","","https://osu.box.com/shared/static/eqau87qxkk3lgyy8u1626a64phdmz5nt.rdata","GDEM",NA,NA
"33","roruns","./output/sac",33,33,"./output/sac33","$SACDIR6","$SACDIR6","$PRIORLOC2","Sacramento",249,220,"50m","-5dB","10dB","gdem_preproc.nc","","https://osu.box.com/shared/static/de013b2fn2kps7a70bi6eitj2rirsxi2.rdata","GDEM",NA,NA
"34","roruns","./output/sac",34,34,"./output/sac34","$SACDIR7","$SACDIR7","$PRIORLOC2","Sacramento",249,220,"50m","68 pctile","3dB wind calc","gdem_preproc.nc","","https://osu.box.com/shared/static/bazr1bfijsfmnoh2b7qwef0nprdkbjh9.rdata","GDEM",NA,NA
"35","roruns","./output/sac",35,35,"./output/sac35","$SACDIR8","$SACDIR8","$PRIORLOC2","Sacramento",249,220,"50m","-100dB","3dB wind calc","gdem_preproc.nc","","https://osu.box.com/shared/static/jjfk23vn9i997g0azwksk6fzv5qtwiwk.rdata","GDEM",NA,NA
"36","roruns","./output/sac",36,36,"./output/sac36","$SACDIR9","$SACDIR9","$PRIORLOC2","Sacramento",249,220,"50m","-100dB","10dB","gdem_preproc.nc","","https://osu.box.com/shared/static/i1vgacms2dpelue1aej462mtqn2efure.rdata","GDEM",NA,NA
"37","roruns37","./output/sac",37,37,"./output/sac/37","slc-sac/output_sac_pixc_dir_multi/GDEM_DEM_ellip_220_0249/cycle_0001_pass_0249_085L_nlcd-5dB_water10dB_50m_CBE","slc-sac/output_sim_sac_multi/GDEM_DEM_ellip_220_0249/cycle_0001_pass_0249_085L_nlcd-5dB_water10dB_50m_CBE","$PRIORLOC3","Sacramento",249,220,"50m","-5dB","10dB","gdem_truth.LeftSwath.nc",NA,NA,"GDEM","","085L"
"38","roruns37","./output/sac",38,38,"./output/sac/38","slc-sac/output_sac_pixc_dir_rui_tile/GDEM_DEM_ellip_220_0249/cycle_0001_pass_0249_085L_nlcd-5dB_water10dB_50m_CBE","slc-sac/output_sim_sac_multi/GDEM_DEM_ellip_220_0249/cycle_0001_pass_0249_085L_nlcd-5dB_water10dB_50m_CBE","$PRIORLOC3","Sacramento",249,220,"50m","-5dB","10dB","gdem_truth.LeftSwath.nc",NA,NA,"GDEM","","085L"
"39","roruns37","./output/sac",39,39,"./output/sac/39","slc-sac/output_sac_pixc_dir_0249_single_10m/GDEM_DEM_ellip_220_0249/cycle_0001_pass_0249_001L_nlcd-5dB_water10dB_50m_CBE","slc-sac/output_sim_sac_0249_single/GDEM_DEM_ellip_220_0249/cycle_0001_pass_0249_001L_nlcd-5dB_water10dB_50m_CBE","$PRIORLOC3","Sacramento",249,220,"50m","-5dB","10dB","gdem_truth.LeftSwath_220_249.nc",NA,NA,"GDEM","10m","001L"
"40","roruns37","./output/sac",40,40,"./output/sac/40","slc-sac/output_sac_pixc_dir_0264_single_10m/GDEM_DEM_ellip_110_0264/cycle_0001_pass_0264_001L_nlcd-5dB_water10dB_50m_CBE","slc-sac/output_sim_sac_0264_single/GDEM_DEM_ellip_110_0264/cycle_0001_pass_0264_001L_nlcd-5dB_water10dB_50m_CBE","$PRIORLOC3","Sacramento",264,110,"50m","-5dB","10dB","gdem_truth.LeftSwath_110_264.nc",NA,NA,"GDEM","10m","001L"
"41","roruns37","./output/sac",41,41,"./output/sac/41","slc-sac/output_sac_pixc_dir_0264_single_10m/GDEM_DEM_ellip_110_0264/cycle_0001_pass_0264_001R_nlcd-5dB_water10dB_50m_CBE","slc-sac/output_sim_sac_0264_single/GDEM_DEM_ellip_110_0264/cycle_0001_pass_0264_001R_nlcd-5dB_water10dB_50m_CBE","$PRIORLOC3","Sacramento",264,110,"50m","-5dB","10dB","gdem_truth.RightSwath_110_264.nc",NA,NA,"GDEM","10m","001R"
"42","roruns37","./output/sac",42,42,"./output/sac/42","slc-sac/output_sac_pixc_dir_0527_single_10m/GDEM_DEM_ellip_119_0527/cycle_0001_pass_0527_001R_nlcd-5dB_water10dB_50m_CBE","slc-sac/output_sim_sac_0527_single/GDEM_DEM_ellip_119_0527/cycle_0001_pass_0527_001R_nlcd-5dB_water10dB_50m_CBE","$PRIORLOC3","Sacramento",527,119,"50m","-5dB","10dB","gdem_truth.RightSwath_119_527.nc",NA,NA,"GDEM","10m","001R"
"43","roruns37","./output/sac",43,43,"./output/sac/43","slc-sac/output_sac_pixc_dir_0249_single_5m/GDEM_DEM_ellip_220_0249/cycle_0001_pass_0249_001L_nlcd-5dB_water10dB_50m_CBE","slc-sac/output_sim_sac_0249_single/GDEM_DEM_ellip_220_0249/cycle_0001_pass_0249_001L_nlcd-5dB_water10dB_50m_CBE","$PRIORLOC3","Sacramento",249,220,"50m","-5dB","10dB","gdem_truth.LeftSwath_220_249.nc",NA,NA,"GDEM","5m","001L"
"44","roruns37","./output/sac",44,44,"./output/sac/44","slc-sac/output_sac_pixc_dir_0249_single_3m/GDEM_DEM_ellip_220_0249/cycle_0001_pass_0249_001L_nlcd-5dB_water10dB_50m_CBE","slc-sac/output_sim_sac_0249_single/GDEM_DEM_ellip_220_0249/cycle_0001_pass_0249_001L_nlcd-5dB_water10dB_50m_CBE","$PRIORLOC3","Sacramento",249,220,"50m","-5dB","10dB","gdem_truth.LeftSwath_220_249.nc",NA,NA,"GDEM","3m","001L"
"45","roruns37","./output/sac",45,45,"./output/sac/45","slc-sac/output_sac_pixc_dir_0264_single_3m/GDEM_DEM_ellip_110_0264/cycle_0001_pass_0264_001R_nlcd-5dB_water10dB_50m_CBE","slc-sac/output_sim_sac_0264_single/GDEM_DEM_ellip_110_0264/cycle_0001_pass_0264_001R_nlcd-5dB_water10dB_50m_CBE","$PRIORLOC3","Sacramento",264,110,"50m","-5dB","10dB","gdem_truth.RightSwath_110_264.nc",NA,NA,"GDEM","3m","001R"
"46","roruns37","./output/sac",46,46,"./output/sac/46","slc-sac/output_sac_pixc_dir_0264_single_5m/GDEM_DEM_ellip_110_0264/cycle_0001_pass_0264_001R_nlcd-5dB_water10dB_50m_CBE","slc-sac/output_sim_sac_0264_single/GDEM_DEM_ellip_110_0264/cycle_0001_pass_0264_001R_nlcd-5dB_water10dB_50m_CBE","$PRIORLOC3","Sacramento",264,110,"50m","-5dB","10dB","gdem_truth.RightSwath_110_264.nc",NA,NA,"GDEM","5m","001R"
"47","roruns37","./output/sac",47,47,"./output/sac/47","slc-sac/output_sac_pixc_dir_0527_single_3m/GDEM_DEM_ellip_119_0527/cycle_0001_pass_0527_001R_nlcd-5dB_water10dB_50m_CBE","slc-sac/output_sim_sac_0527_single/GDEM_DEM_ellip_119_0527/cycle_0001_pass_0527_001R_nlcd-5dB_water10dB_50m_CBE","$PRIORLOC3","Sacramento",527,119,"50m","-5dB","10dB","gdem_truth.RightSwath_119_527.nc",NA,NA,"GDEM","3m","001R"
"48","roruns37","./output/sac",48,48,"./output/sac/48","slc-sac/output_sac_pixc_dir_0527_single_5m/GDEM_DEM_ellip_119_0527/cycle_0001_pass_0527_001R_nlcd-5dB_water10dB_50m_CBE","slc-sac/output_sim_sac_0527_single/GDEM_DEM_ellip_119_0527/cycle_0001_pass_0527_001R_nlcd-5dB_water10dB_50m_CBE","$PRIORLOC3","Sacramento",527,119,"50m","-5dB","10dB","gdem_truth.RightSwath_119_527.nc",NA,NA,"GDEM","5m","001R"
"49","roruns37","./output/sac",49,49,"./output/sac/49","slc-sac/output_sac_pixc_dir_multi/GDEM_DEM_ellip_220_0249/cycle_0001_pass_0249_085L_nlcd-5dB_water10dB_50m_CBE","slc-sac/output_sim_sac_multi/GDEM_DEM_ellip_220_0249/cycle_0001_pass_0249_085L_nlcd-5dB_water10dB_50m_CBE","$PRIORLOC4","Sacramento",249,220,"50m","-5dB","10dB","gdem_truth.LeftSwath.nc",NA,NA,"GDEM","","085L"
"50","roruns37","./output/sac",50,50,"./output/sac/50","slc-sac/output_sac_pixc_dir_rui_tile/GDEM_DEM_ellip_220_0249/cycle_0001_pass_0249_085L_nlcd-5dB_water10dB_50m_CBE","slc-sac/output_sim_sac_multi/GDEM_DEM_ellip_220_0249/cycle_0001_pass_0249_085L_nlcd-5dB_water10dB_50m_CBE","$PRIORLOC4","Sacramento",249,220,"50m","-5dB","10dB","gdem_truth.LeftSwath.nc",NA,NA,"GDEM","","085L"
"51","roruns37","./output/sac",51,51,"./output/sac/51","slc-sac/output_sac_pixc_dir_0249_single_10m/GDEM_DEM_ellip_220_0249/cycle_0001_pass_0249_001L_nlcd-5dB_water10dB_50m_CBE","slc-sac/output_sim_sac_0249_single/GDEM_DEM_ellip_220_0249/cycle_0001_pass_0249_001L_nlcd-5dB_water10dB_50m_CBE","$PRIORLOC4","Sacramento",249,220,"50m","-5dB","10dB","gdem_truth.LeftSwath_220_249.nc",NA,NA,"GDEM","10m","001L"
"52","roruns37","./output/sac",52,52,"./output/sac/52","slc-sac/output_sac_pixc_dir_0264_single_10m/GDEM_DEM_ellip_110_0264/cycle_0001_pass_0264_001L_nlcd-5dB_water10dB_50m_CBE","slc-sac/output_sim_sac_0264_single/GDEM_DEM_ellip_110_0264/cycle_0001_pass_0264_001L_nlcd-5dB_water10dB_50m_CBE","$PRIORLOC4","Sacramento",264,110,"50m","-5dB","10dB","gdem_truth.LeftSwath_110_264.nc",NA,NA,"GDEM","10m","001L"
"53","roruns37","./output/sac",53,53,"./output/sac/53","slc-sac/output_sac_pixc_dir_0264_single_10m/GDEM_DEM_ellip_110_0264/cycle_0001_pass_0264_001R_nlcd-5dB_water10dB_50m_CBE","slc-sac/output_sim_sac_0264_single/GDEM_DEM_ellip_110_0264/cycle_0001_pass_0264_001R_nlcd-5dB_water10dB_50m_CBE","$PRIORLOC4","Sacramento",264,110,"50m","-5dB","10dB","gdem_truth.RightSwath_110_264.nc",NA,NA,"GDEM","10m","001R"
"54","roruns37","./output/sac",54,54,"./output/sac/54","slc-sac/output_sac_pixc_dir_0527_single_10m/GDEM_DEM_ellip_119_0527/cycle_0001_pass_0527_001R_nlcd-5dB_water10dB_50m_CBE","slc-sac/output_sim_sac_0527_single/GDEM_DEM_ellip_119_0527/cycle_0001_pass_0527_001R_nlcd-5dB_water10dB_50m_CBE","$PRIORLOC4","Sacramento",527,119,"50m","-5dB","10dB","gdem_truth.RightSwath_119_527.nc",NA,NA,"GDEM","10m","001R"
"55","roruns37","./output/sac",55,55,"./output/sac/55","slc-sac/output_sac_pixc_dir_0249_single_5m/GDEM_DEM_ellip_220_0249/cycle_0001_pass_0249_001L_nlcd-5dB_water10dB_50m_CBE","slc-sac/output_sim_sac_0249_single/GDEM_DEM_ellip_220_0249/cycle_0001_pass_0249_001L_nlcd-5dB_water10dB_50m_CBE","$PRIORLOC4","Sacramento",249,220,"50m","-5dB","10dB","gdem_truth.LeftSwath_220_249.nc",NA,NA,"GDEM","5m","001L"
"56","roruns37","./output/sac",56,56,"./output/sac/56","slc-sac/output_sac_pixc_dir_0249_single_3m/GDEM_DEM_ellip_220_0249/cycle_0001_pass_0249_001L_nlcd-5dB_water10dB_50m_CBE","slc-sac/output_sim_sac_0249_single/GDEM_DEM_ellip_220_0249/cycle_0001_pass_0249_001L_nlcd-5dB_water10dB_50m_CBE","$PRIORLOC4","Sacramento",249,220,"50m","-5dB","10dB","gdem_truth.LeftSwath_220_249.nc",NA,NA,"GDEM","3m","001L"
"57","roruns37","./output/sac",57,57,"./output/sac/57","slc-sac/output_sac_pixc_dir_0264_single_3m/GDEM_DEM_ellip_110_0264/cycle_0001_pass_0264_001R_nlcd-5dB_water10dB_50m_CBE","slc-sac/output_sim_sac_0264_single/GDEM_DEM_ellip_110_0264/cycle_0001_pass_0264_001R_nlcd-5dB_water10dB_50m_CBE","$PRIORLOC4","Sacramento",264,110,"50m","-5dB","10dB","gdem_truth.RightSwath_110_264.nc",NA,NA,"GDEM","3m","001R"
"58","roruns37","./output/sac",58,58,"./output/sac/58","slc-sac/output_sac_pixc_dir_0264_single_5m/GDEM_DEM_ellip_110_0264/cycle_0001_pass_0264_001R_nlcd-5dB_water10dB_50m_CBE","slc-sac/output_sim_sac_0264_single/GDEM_DEM_ellip_110_0264/cycle_0001_pass_0264_001R_nlcd-5dB_water10dB_50m_CBE","$PRIORLOC4","Sacramento",264,110,"50m","-5dB","10dB","gdem_truth.RightSwath_110_264.nc",NA,NA,"GDEM","5m","001R"
"59","roruns37","./output/sac",59,59,"./output/sac/59","slc-sac/output_sac_pixc_dir_0527_single_3m/GDEM_DEM_ellip_119_0527/cycle_0001_pass_0527_001R_nlcd-5dB_water10dB_50m_CBE","slc-sac/output_sim_sac_0527_single/GDEM_DEM_ellip_119_0527/cycle_0001_pass_0527_001R_nlcd-5dB_water10dB_50m_CBE","$PRIORLOC4","Sacramento",527,119,"50m","-5dB","10dB","gdem_truth.RightSwath_119_527.nc",NA,NA,"GDEM","3m","001R"
"60","roruns37","./output/sac",60,60,"./output/sac/60","slc-sac/output_sac_pixc_dir_0527_single_5m/GDEM_DEM_ellip_119_0527/cycle_0001_pass_0527_001R_nlcd-5dB_water10dB_50m_CBE","slc-sac/output_sim_sac_0527_single/GDEM_DEM_ellip_119_0527/cycle_0001_pass_0527_001R_nlcd-5dB_water10dB_50m_CBE","$PRIORLOC4","Sacramento",527,119,"50m","-5dB","10dB","gdem_truth.RightSwath_119_527.nc",NA,NA,"GDEM","5m","001R"
"61","roruns61","./output/sac",61,61,"./output/sac/61","slc-sac/output_sac_pixc_dir_0527_single_srtm_10m/GDEM_DEM_ellip_119_0527/cycle_0001_pass_0527_001R_nlcd-5dB_water10dB_50m_CBE","slc-sac/output_sim_sac_0527_single/GDEM_DEM_ellip_119_0527/cycle_0001_pass_0527_001R_nlcd-5dB_water10dB_50m_CBE","$PRIORLOC5","Sacramento",527,119,"50m","-5dB","10dB","gdem_truth.RightSwath.nc",NA,NA,"SRTM","30m","001R"
"62","roruns61","./output/sac",62,62,"./output/sac/62","slc-sac/output_sac_pixc_dir_0249_single_srtm_10m/GDEM_DEM_ellip_220_0249/cycle_0001_pass_0249_001L_nlcd-5dB_water10dB_50m_CBE","slc-sac/output_sim_sac_single/GDEM_DEM_ellip_220_0249/cycle_0001_pass_0249_001L_nlcd-5dB_water10dB_50m_CBE","$PRIORLOC5","Sacramento",249,220,"50m","-5dB","10dB","gdem_truth.LeftSwath.nc",NA,NA,"SRTM","30m","001L"
"63","roruns61","./output/sac",63,63,"./output/sac/63","slc-sac/output_sac_pixc_dir_0264_single_srtm_10m/GDEM_DEM_ellip_110_0264/cycle_0001_pass_0264_001L_nlcd-5dB_water10dB_50m_CBE","slc-sac/output_sim_sac_0264_single/GDEM_DEM_ellip_110_0264/cycle_0001_pass_0264_001L_nlcd-5dB_water10dB_50m_CBE","$PRIORLOC5","Sacramento",264,110,"50m","-5dB","10dB","gdem_truth.LeftSwath.nc",NA,NA,"SRTM","30m","001L"
"64","roruns61","./output/sac",64,64,"./output/sac/64","slc-sac/output_sac_pixc_dir_0264_single_srtm_10m/GDEM_DEM_ellip_110_0264/cycle_0001_pass_0264_001R_nlcd-5dB_water10dB_50m_CBE","slc-sac/output_sim_sac_0264_single/GDEM_DEM_ellip_110_0264/cycle_0001_pass_0264_001R_nlcd-5dB_water10dB_50m_CBE","$PRIORLOC5","Sacramento",264,110,"50m","-5dB","10dB","gdem_truth.RightSwath.nc",NA,NA,"SRTM","30m","001R"
